encounter_id,timestamp,own_mmsi,target_mmsi,encounter_type,risk_level,risk_score,confidence,rationale,own_position.lat,own_position.lon,target_position.lat,target_position.lon,relative_motion.current_distance_nm,relative_motion.dcpa_nm,relative_motion.tcpa_min,relative_motion.relative_speed_kn,relative_motion.closing_speed_kn,relative_motion.converging,relative_motion.relative_bearing_deg,relative_motion.cpa_east_nm,relative_motion.cpa_north_nm,domain.forward_nm,domain.aft_nm,domain.lateral_nm,domain.normalized_distance,domain.violated,colreg.rule,colreg.own_role,colreg.target_role,colreg.explanation,components.dcpa,components.tcpa,components.range,components.closing_speed,components.domain
enc-9d95e2c6177f,2026-08-03T12:00:00Z,261100001,261100002,head-on,critical,0.907642,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.59,53.4,14.62,1.073928,0.0,3.221785,20.0,20.0,True,0.0,-0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9284047777777777,0.463036,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:00:00Z,261200001,261200002,crossing-starboard,critical,0.882864,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.59,53.5921,14.605,0.714602,0.000583,3.560665,12.041595,12.041591,True,41.586795,0.000387,0.000436,0.312581,0.089093,0.089093,0.005048,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998834,0.9208741111111111,0.642699,0.60207955,1.0
enc-f69c22f254bd,2026-08-03T12:00:00Z,261300001,261300002,overtaking,critical,0.872761,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.59,53.8,14.602,0.425523,0.0,3.647339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9189480222222222,0.7872385,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:00:30Z,261100001,261100002,head-on,critical,0.921975,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.592327901748643,53.4,14.617672098251356,0.907262,0.0,2.721785,20.0,20.0,True,0.0,0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9395158888888889,0.546369,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:00:30Z,261200001,261200002,crossing-starboard,critical,0.892562,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.592105018334122,53.593210362343214,14.605,0.614245,0.000574,3.060617,12.041595,12.041589,True,41.579967,0.000382,0.000429,0.312581,0.089093,0.089093,0.004968,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998852,0.9319862888888889,0.6928775,0.60207945,1.0
enc-f69c22f254bd,2026-08-03T12:00:30Z,261300001,261300002,overtaking,critical,0.879511,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.593290070189223,53.8,14.603645035094612,0.36719,0.0,3.147339,7.0,7.0,True,0.0,-0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9300591333333333,0.816405,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:01:00Z,261100001,261100002,head-on,critical,0.936309,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.594655803497284,53.4,14.615344196502715,0.740595,0.0,2.221785,20.0,20.0,True,0.0,-0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.950627,0.6297025,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:01:00Z,261200001,261200002,crossing-starboard,critical,0.902258,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.594210036668242,53.594320724686426,14.605,0.513891,0.000567,2.560575,12.041595,12.041587,True,41.570326,0.000377,0.000424,0.312581,0.089093,0.089093,0.00491,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998866,0.9430983333333334,0.7430545,0.60207935,1.0
enc-f69c22f254bd,2026-08-03T12:01:00Z,261300001,261300002,overtaking,critical,0.886261,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.596580140378448,53.8,14.605290070189223,0.308856,0.0,2.647339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9411702444444444,0.845572,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:01:30Z,261100001,261100002,head-on,critical,0.950642,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.596983705245927,53.4,14.613016294754072,0.573928,0.0,1.721785,20.0,20.0,True,0.0,0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9617381111111111,0.713036,1.0,1.0
